artist;song;duration_ms;explicit;year;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
Christina Milian;AM To PM;231213;FALSO;2001;60;872;868;10;-3.036;0;0.12;153;2.26e-05;843;822;105.005;hip hop, pop, R&B
Christina Milian;When You Look At Me - Radio Edit;222546;FALSO;2001;60;955;839;3;-3.399;0;127;934;175;99;825;108.955;hip hop, pop, R&B
Creed;My Sacrifice;294600;FALSO;2001;69;320;880;2;-6.035;1;504;101;4.31e-06;76;257;146.349;pop, rock, metal
D12;Purple Pills;304506;VERDADERO;2001;68;780;634;1;-5.941;1;0.16;199;2.98e-05;0.29;754;125.25;hip hop, pop, rock
Daft Punk;One More Time;320357;FALSO;2001;76;613;697;2;-8.618;1;133;194;0.0;332;476;122.746;hip hop, Dance/Electronic
Darude;Sandstorm;225493;FALSO;2001;69;528;965;11;-7.984;0;465;141;985;797;587;136.065;pop, Dance/Electronic
Default;Wasting My Time;268693;FALSO;2001;40;443;769;2;-5.529;1;312;138;0.0;677;0.17;147.973;rock, pop, metal
Destiny's Child;Survivor;254026;FALSO;2001;70;514;911;1;-2.027;0;0.41;559;0.0;775;619;161.109;pop, R&B
Destiny's Child;Independent Women, Pt. 1;221133;FALSO;2001;65;730;602;6;-3.782;0;206;362;3.69e-06;169;927;97.954;pop, R&B
Destiny's Child;Independent Women, Pt. 1;221133;FALSO;2001;65;730;602;6;-3.782;0;206;362;3.69e-06;169;927;97.954;pop, R&B
Destiny's Child;Bootylicious;207906;FALSO;2001;64;840;835;1;-4.386;0;275;281;1.11e-06;152;637;103.376;pop, R&B
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217120;FALSO;2001;54;847;877;2;-5.424;1;493;124;0.0;148;764;131.044;Dance/Electronic
Emma Bunton;What Took You So Long?;241000;FALSO;2001;54;668;772;9;-5.4;0;307;123;0.0;341;911;118.011;pop
Enrique Iglesias;Escape;208626;FALSO;2001;56;776;844;11;-5.305;1;297;277;244;135;868;125.972;pop, latin
Erick Sermon;Music (feat. Marvin Gaye);223133;VERDADERO;2001;57;897;466;10;-9.053;0;203;187;1.35e-06;757;884;100.01;hip hop, pop
Eve;Let Me Blow Ya Mind;230133;VERDADERO;2001;73;908;557;8;-4.243;0;107;242;0.0;709;897;90.032;hip hop, pop, R&B
Faith Evans;I Love You;267160;FALSO;2001;53;489;757;11;-4.062;0;926;981;0.0;234;567;168.004;hip hop, pop, R&B
Faith Hill;There You'll Be;222120;FALSO;2001;60;321;511;8;-7.77;1;306;513;0.0;127;0.17;128.98;pop, country
Fat Joe;What's Luv? (feat. Ja-Rule & Ashanti);267093;VERDADERO;2001;73;835;707;8;-5.074;1;598;219;2.19e-05;108;919;93.955;hip hop, pop
Five;Let's Dance - Radio Edit;218626;FALSO;2001;47;631;821;4;-7.853;0;867;876;247;293;547;118.007;pop
Fragma;Everytime You Need Me - Radio Version;213346;FALSO;2001;50;682;917;11;-5.459;0;318;0.15;676;0.34;0.79;137.029;pop, Dance/Electronic
Gabrielle;Out Of Reach;196986;FALSO;2001;69;510;480;11;-6.567;1;452;503;0.0;106;496;182.862;pop, R&B
Gabrielle;Rise;219093;FALSO;2001;60;558;481;8;-9.487;1;26;315;8.83e-06;0.09;631;144.673;pop, R&B
Gabrielle;Rise;219093;FALSO;2001;60;558;481;8;-9.487;1;26;315;8.83e-06;0.09;631;144.673;pop, R&B
Gary Jules;Mad World (Feat. Michael Andrews);189506;FALSO;2001;65;345;581;3;-17.217;1;374;976;366;103;304;174.117;pop
Geri Halliwell;It's Raining Men;254640;FALSO;2001;62;637;929;5;-6.03;0;447;63;796;318;604;136.482;pop
Ginuwine;Differences;265533;FALSO;2001;65;562;594;3;-4.578;0;558;318;0.0;311;423;62.876;hip hop, pop, R&B
Gorillaz;Clint Eastwood;340920;VERDADERO;2001;74;663;694;10;-8.627;0;171;253;0.0;698;525;167.953;hip hop
J-Kwon;Tipsy - Club Mix;247106;VERDADERO;2001;59;925;741;9;-5.827;0;315;653;0.0;44;654;93.04;hip hop, pop
Ja Rule;Always On Time;245133;VERDADERO;2001;73;839;706;5;-6.104;0;199;208;0.0;242;839;96.673;hip hop, pop, R&B
Ja Rule;Livin' It Up;257066;FALSO;2001;64;874;768;6;-4.086;1;311;554;0.0;41;636;106.095;hip hop, pop, R&B
Jagged Edge;Where the Party At (feat. Nelly);232573;FALSO;2001;67;596;661;5;-6.239;0;226;0.31;0.0;847;0.86;129.491;hip hop, pop, R&B
Jamiroquai;Little L;295400;FALSO;2001;65;878;724;10;-5.373;0;129;168;116;133;904;121.906;pop
Janet Jackson;All For You;329933;FALSO;2001;65;753;934;2;-3.011;1;736;174;65;128;0.73;113.525;pop, R&B
Janet Jackson;Doesn't Really Matter;265026;FALSO;2001;47;771;796;5;-3.081;0;76;993;278;981;801;99.316;pop, R&B
JAY-Z;Izzo (H.O.V.A.);240626;VERDADERO;2001;63;618;844;1;-4.051;0;342;178;126;634;697;84.411;hip hop
